Örnek İndeksi,Gerçek Etiket,Modelin Tahmini,Metin
764,Positive,Negative,"The Lone Ranger was one of my childhood heroes, and I never missed a chance to catch his adventures on Saturday morning re-runs during the mid 1950's. Somehow however, this film got by me until I had a chance to catch it today courtesy of my local library. I was struck by a number of elements during the story, as right from the start, you have a new Lone Ranger theme song before you hear the traditional opening used on the TV show. The adventure uses Tonto (Jay Silverheels) in a nicely expanded role, even though he takes his share of lumps throughout, getting beat up and shot more than once. Perhaps most interesting of all, the Ranger actually shoots to kill in a couple of situations, putting his character at odds with the vision created for the TV series that he would never use his weapon to kill, only to wound or to protect himself and others. <br /><br />Aside from that, you have a fairly traditional Western adventure. The Ranger and Tonto come to the aid of an Indian tribe whose members are being murdered by hooded raiders attempting to track down five medallions that together, form the key to a fabulous treasure. Interestingly, the leader of the bad guys is an already wealthy woman, disarmingly portrayed by Noreen Nash. Her top henchman is played by Douglas Kennedy, and it was no surprise to see Lane Bradford as one of the baddies. Bradford's character was one of the men shot by the Lone Ranger, which got me to thinking how many times that might have happened in the TV series. A quick check revealed that he appeared in 'The Lone Ranger' show fifteen times, while Kennedy appeared a total of six times. <br /><br />What might be most interesting of all about the picture is it's attempt to portray Indians in a revisionist light at a time when TV and movie Westerns were still largely portraying the red man as an illiterate savage. The character of Dr. James Rolfe (Norman Fredric) is the most revealing in that regard; he's an Indian who attained an education and went on to become a doctor, returning to the land of his tribe to tend to the needs of all it's citizens. For purposes of the story, he had to impersonate a white man to be accepted by the local ranchers. This was the hardest thing for me to accept about the story line actually, as Dr. Rolfe was the grandson of the elderly Chief Tomache (John Miljan). That no one in the story except Paviva (Lisa Montell) knew that he was really an Indian was something of a stretch for me. I suppose it was possible that he left the tribe at an early age, but without that back story fleshed out, it didn't make sense to me that no one else from the tribe would know who he was.<br /><br />I don't know why I'm intrigued by this so much, but after watching and reviewing over two hundred Westerns on this site, I've suddenly come across three films in the past month that utilize a blanket pull gimmick like the one performed by Tonto's horse Scout in this picture. Roy Rogers' Trigger did a similar stunt in 1952's ""Son of Paleface"", and I caught it again in 1958's ""The Big Country"" by a horse named Old Thunder in that flick. It's done as a bit of comic relief in a situation that wouldn't normally come up for a horse, and it now makes me curious when the bit might have been first done. I'll have to keep watching more old time Westerns. Not to be outdone, Silver had a chance to shine in the picture as well, making the save of an Indian baby that was about to be used as a hostage by bad guy Brady.<br /><br />Speaking of gimmicks, Clayton Moore borrowed a tactic from the TV series when he donned a disguise as a Southern gentleman to smoke out the villains posing as the hooded raiders. Whenever he would do so in the half hour format, it was always clever enough to hide his real features, usually with a beard as done here. One of the more interesting episodes I recall had to do with the Ranger impersonating an actor in the guise of Abraham Lincoln.<br /><br />Keep an eye out for a couple of goofs I spotted along the way. In an early scene at the opening, an Indian is shot by one of the hooded raiders, and in a close up, there's blood on his shirt but no bullet hole. Later on in the story, Ross Brady and Wilson ride up on the Indians after they've kidnapped one of the villains out of jail. Brady shoots him from a standing position to prevent him from identifying the raiders, but is immediately shown about to make his getaway on horseback with Wilson."
786,Positive,Negative,"This is a very strange HK film in many ways. First, many of the action sequences really aren't that much fun. The very first gun battle the occurs in the film was just silly. Not cool silly, or even funny silly, but just silly. That's not to say there aren't some great action scenes, but most simply don't come up to the level of some of the other films I have seen. The opposite side is that this film actually has CHARACTERS, not just people. All of the main characters are interesting (except for the head bad guy, who is flat as a billiard table) and most are fairly well acted. All the protagonists in this film are just fun to watch. The dialogue is quite witty, and doesn't seem to lose much in translation. This film is worth seeing, but I hope that uninitiated American audiences don't think this is the best HK has to offer."
796,Positive,Negative,"Story about three eclipse (maybe even Indigo, ha) children beginning their love for murder. Oh, and the people who are ""hot"" on their trail.<br /><br />Bloody Birthday, a pretty mediocre title for the film, was a nice lil surprise. I was in no way expecting a film that dealt with blood-thirsty psychopath kids. And I may say it's also one of the best flicks I've seen with kids as the villains. By the end of the movie I seriously wanted these kids to die in horrible fashion.<br /><br />It's a really solid 80s horror flick, but how these kids are getting away with all this mayhem and murder is just something that you can't not think about. Even the slightest bit of investigation would easily uncover these lil sh!ts as the murderers. But there seems to be only a couple police in town, well by the end, only one, and he seemed like a dimwit, so I suppose they could have gotten away with it. Haha, yeah, and I'm a Chinese jet-pilot.<br /><br />Nevertheless, this movie delivered some evilass kids who were more than entertaining, a lot of premarital sex and a decent amount of boobage. No kiddin! If you're put off by the less than stellar title, dash it from your mind and give this flick a shot. It's a very recommendable and underrated 80s horror flick."
807,Positive,Negative,"OK...this one's a weirdy....Honestly, I can't tell you all the inner plot-points of THE BEAST, cuz I started losing interest when nothing happened during the first 45 or more minutes - but just wait, it definitely does ""pick up""...<br /><br />The plot involves something about a monster in the woods that some French aristocrat chick screwed back in the day. Eventually you see ""THE BEAST"", which looks like a guy dressed in a giant rat-bear costume with a horse cock attached to it. The scene takes place with the aristocrat woman running around the forest looking for a lost sheep. The sheep ends up dead and the woman gets scared. THE BEAST pops up, rapes the chick and shoots 400 gallons of spunk all over her. Eventually the chick starts to enjoy the beast's ""attention"" which results in some pretty novel simulated sex scenes, including an unnervingly erotic foot masturbation scene where the woman jerks the beast off with her feet while the monster shoots more huge loads everywhere (yeah, I've got a twisted foot-fetish - so sue me....)...The whole film is told in flashbacks and long-winded dialog scenes that tended to be a bit tedious. A ""shocking"" but predictable ending concludes this extremely strange film...<br /><br />THE BEAST is a film that I find kind of hard to rate. The cinematography itself is quite eye-catching and the sets, costumes and locations are elaborate. The plot is a little convoluted and seems to take it self awfully seriously for what ends up being such an unintentionally hilarious film about a chick boning a rat-bear. A good bit of tits, ass, and hairy 70's French bushes to help make up for the dull first half of the film. I have to honestly say, that if it weren't for the graphic scenes of the BEAST spackling all over the willing maiden, this film would have been a real bore - that is unless you like dull dialog and some graphic horse sex (the beginning has a VERY up-close and personal scene of two horses boning, including a pulsating and spunk covered female horse vagina...YUM!!!). But the BEAST sex scene is so strange and such a refreshing change from the rest of the film, that I have to say that those scenes alone make up for what otherwise would have been a real snoozer. I have to recommend this one to anyone who thinks they've seen it all - the BEAST rape really is out-there and something to be witnessed. Also recommended to any fans of 70's/80's sleaze films - this one ranks pretty high with them. Worth a look for you sick rat-bear beastiality lovers out there (like me)...8/10"
809,Negative,Positive,"This is a awful re-make of a very good movie called ""Up In The Air"" starring Frankie Darrow, Mantan Moreland and Marjorie Reynolds. I was only able to get through about 20 minutes before turning it off. Almost all the lines are identical, I have no idea why they would re-do the movie. I totally disagree with a previous post that dislikes the songs ( there the same also), In the original the singing is first rate, I'm not sure if Marjorie Reynolds actually did her own singing, it's hard to tell since the vocals were usually added later, and the songs are very good, surprising in a ""B"" movie. If you get the chance see the original it's available on DVD. You'll be pleasantly surprised."
820,Negative,Positive,"Child´s Play made a new genre of horror,THE KILLER DOLLS,Some of this films has not got too much money for make it but I think that the only film that make shadow to Chucky is this.Ok it´s a tipical product direct to video or direct to tv but Pinocchio is not real and the killer is the little girl.The imagination of children are too big and this film play with it.The roles are good and Candance Mckenzie is great.<br /><br />"
837,Negative,Positive,"Yet another ""gay"" film ruined by asinine politics. Luigi's final speech just about sent me running out of the theatre with its bumper-sticker epigrams. Read the comic book it was based on for a much more entertaining experience."
845,Positive,Negative,"Ninja Hunter (AKA Wu Tang vs Ninja) is pure entertainment from start to finish due to its outrageous characters, nonsensical plot and lack of any pretensions whatsoever. The makers of this film have given us a truly OTT masterpiece which has to be seen to be believed.<br /><br />The plot centres around Wu Tang villain, Abbot White, who wants to destroy the Shaolin monks and become supreme martial artist. In order to do so, he teams up with a clan of Ninjas, led by three masters  gold lamé ninja, white mustachioed ninja and black ninja  and succeeds in destroying the Shaolin temple and most of its inhabitants. However, there are some survivors. It is their job to pass on the knowledge of the Shaolin finger jab to a new generation, who must defeat the ninjas and Abbott White if peace and order is to be restored.<br /><br />Unfortunately, Abbott White is a difficult foe to beat, since he is able to make himself virtually indestructible by sucking the life force out of hot naked chicks (an excuse for some welcome gratuitous nudity!).<br /><br />Other treats in store for viewers include loads of very impressive fighting (despite some of it being speeded up), some really amazing outfits (the aforementioned gold lamé ninja, Abbott White's Yin Yang suits, and even some assassins wearing Swastika tunics), a ninja turning into a flying carpet, plus some cheesy gore for good measure. And I nearly forgot to mention the really impressive eyebrows on display in this movie  surely a good reason not to pass up on this gem."
846,Positive,Negative,"Yes, indeed we have a winner- a winner in best dumb-action-movie!<br /><br />The only reason I chose to vote a 10 for this movie is because it's so incredibly bad-made that it actually becomes funny.<br /><br />""Night Hunter"" is basically about Jack Cutter, a Vampire hunter (Vampire hunters have been in his generation for centuries, apparently), and his mission, being that he has to kill the last remaining Vampires.<br /><br />This movie contains one of the cheesiest scenes I have ever seen in my life. Not to mention the really bad gun-shooting scenes. When people are shot in this movie, blood splatters- thick as ketchup all over the place, this makes the movie seem so cheap and lame that you just lose interest. A constant shaking of the camera is what annoys me the most during the fight-scenes. This is, I suppose, done to create an ""action-effect"", though in my opinion it gives no effect whatsoever. Its completely ridiculous! <br /><br />All stunt-scenes are done extremely badly. E.g a scene where the dead Vampire-leader gets thrown off a roof. When the corpse hits the ground, it bounces like a wobbly rubber-doll. A scene where Jack sniffs the ground, getting a vision was so lame it got me laughing hysterically.<br /><br />Lame music, cheesy scenes, bad acting and plain dumb filming techniques are obviously the functions that make this movie such a malfunction. To state that this is a good movie would be the same as stating that nuclear bombs are good for humans. Clearly those of you who say that this is one of the best action-movies, haven't seen many in your life.<br /><br />This is basically a B-class vampire-action-movie that deserves 0/10 but which I'll give 10/10, just for its ability (being the lousiest action-movie I have ever seen)of making me laugh and because I just can't live without it."
859,Negative,Positive,"This film is worth seeing since it is a classic in the sense of being the very first full length film released in the process of three demention. It was not very good in its acting or story plot, but can be a great movie quiz question from an historical standpoint. It should be seen in the 3 D process with polarized lenses."
865,Negative,Positive,"'The Fox and the Child' is the new film by French director Luc Jacquet, who brought us the Oscar-winning documentary 'March of the Penguins.' It focuses around a young girl (wonderfully played by Bertille Noël-Bruneau) and her blooming friendship with a fox.<br /><br />There are some truly mesmerizing moments here; badgers mucking about, a lynx chasing the fox through a snow-littered forest; one scene in particular when the fox is being tormented by a pack of wolves is quite intense and even frightening at times. However, there's simply not quite enough of them.<br /><br />Beautifully shot; the cinematography is dazzling. The bubbly kind of look of the film is wonderful. It's undeniably a very lush production.<br /><br />The English version is narrated by Kate Winslet, but what little dialogue there already is has been very poorly dubbed. The score is also far too fluffy, or at least it is for my liking; and the screenplay, while subtle, seemingly jumps from one scenario to another, ultimately leaving me almost baffled.<br /><br />While there's a nice moral at the heart of the film, and the rather quiet performance from Noël-Bruneau is quite lovely, the real star is the fox. Those captivating moments focusing solely around our furry little friend are tremendous. However, again, there's simply not nearly enough of them.<br /><br />- To keep up to date with all the latest in film, including reviews, news, discussions and more, be sure to visit www.mybluray.com.au"
873,Negative,Positive,"I have to agree that the movie is not the best I've ever seen, but I would like to make mention that the actors portraying Tommy and Jimmy Dorsey were the actual Dorsey brothers. As actors, they were wonderful musicians. The movie, based on their famous split, would have been better had professional actors played the parts. Many movies made during this time frame took advantage of the popularity of Big Bands. Most often, the movies were not that good because musicians are not actors by trade. Most of the movie-going audience didn't go to see Tommy or Jimmy Dorsey playing themselves; they went for the plot and the music. I've never been much of a Dorsey fan, but the music is good even today.<br /><br />I have to comment on a previous post regarding the actors who played Mom and Pop Dorsey and that their accents would be considered extreme by a Dublin audience. Arthur Shields and Sara Allgood were actually Irish actors, both born in Dublin. You might remember Mr. Shields as the Reverend Mr. Playfair in The Quiet Man and Ms. Allgood as Mrs. Monahan in Cheaper By The Dozen."
900,Positive,Negative,"Just saw the movie, it's actually pretty good. The trailers'd left me an impression of either yet another Dujardin one-man-show-turned-film (à la _Brice de Nice_) or an expensive, stupid French comedy. Surprisingly, it's neither. Secret agent OSS 117 is stupid, but at least he sort of knows it, whereas I've always found that James Bond was stupid but acted like a smart arse. Dialogue is witty with a lot of tongue-in-cheek humour that one would expect from a British rather than a French movie. The women and the music are beautiful. A refreshing trip into the past, when the bad guys were ex-Nazis or Soviet brutes, cars were shiny, and France had colonies!"
909,Negative,Positive,"In my knowledge, Largo winch was a famous Belgium comics (never read) telling the adventures of a playboy, a sort of James Bond without the spy life! So, when I had to choose a movie for a 5 years-old kid, I picked it up because the kid was already a great fan of James Bond!<br /><br />But, just after the opening credits, I got heavy doubts: when American movies offer amazing start, here, no action and a torrid sex scene  Then, the story get very complicated with financial moves I thought I lost the kid.<br /><br />But, strangely, he had been caught by Largo, and more than James Bond! <br /><br />Was it the excellent interpretation of Tomer Sisley? The difficult relationship Largo has with his father? The multiple box story in which the friends are the bad guys, the bad guys are the friends? The exotic locations of Honk-Kong, Yougoslavia? <br /><br />Dunno, but he really cares about Largo (""Will he get up?) and we enjoyed our moment."
927,Negative,Positive,"Mark Pirro's ""Deathrow Gameshow"" of 1987 is a black comedy that is extremely cheesy in many parts, but occasionally very funny nevertheless. This movie could certainly have been a lot better, the acting is terrible, and some extremely cheesy scenes make it hard to watch at times, but the concept is funny, and it has some hilarious moments.<br /><br />In the near future (the year 1991), game shows have changed. Chuck Todean (John Mc Cafferty) hosts a game show called ""Live Or Die"", in which convicted death row inmates have the chance to play for their lives, and for money. Candidates who fail, get executed on the air using many different methods, such as guillotines, electric chairs, and other, more bizarre devices of execution, followed by applause from the cheering studio audience. The show is, of course, more than controversial, and Chuck has made lots of enemies...<br /><br />""Deathrow Gameshow"" is incredibly cheesy and crappy in many aspects, and the acting is terrible, but it is without doubt fun in many parts, especially if you're a fan of dark humor. You haven't missed anything if you haven't seen it, but it is definitely funny and a good time waster. 4/10"
956,Negative,Positive,"I a huge fan of when it comes to Doctor Who series and still am, But I was very disappointed when i began to watch this new series.<br /><br />Children under the age of 15, or even better under the age of 10 will probably will enjoy it the best, and possibly new fans who haven't seen any of the original series, But as far as fans of the original series, will find this series missing much of the charm the made the original series so great, It took David Tennant to get me to Appreciate how Much better Christoper Eccellestion was as a Doctor in the 1st season.<br /><br />I would only recommend this series for people who haven't seen much of the original series, people who are under 15, and EXTREMELY DIE HARD who fans, everyone else will just get a laugh and mumble curse words about Russel T. Davies screwed up one of our favorite TV shows."
962,Negative,Positive,"Yes! this movie was just bad in every way in things like cast,effects,boredom,excitement,and of course,being fantastic and we all know the four heroes in this one were a bit more colourful compared to the new ones but it still has to go,A fantastic bore like this really was just silly trash which i knew nobody would like when i saw it,i mean surely with that budget about 3 or 4 GOOD movies could have been made but no. I am just glad that the new version made this year totally showed everyone how the fantastic four should have been made with good story,great cast like Jessica Alba one of my favourite actresses otherwise it would have been totally forgotten but thankfully no. The new one was excellent when i saw it with my mates at the cinema but this old fantastic bore has gotta go."
969,Negative,Positive,"if.... is the cinematic equivalent of Sgt. Pepper's: Revered by baby boomers as the pinnacle of creation, and viewed as rather a silly bit of business by preceding and subsequent generations. Now that the children of the middle classes the world over are seemingly super human due to the internet, and view the prospect of boarding school as a wonderful opportunity thanks to the Harry Potter books/films, the relevance of if.... couldn't be further from modern concern. In fact, many scenes appear so alien and exaggerated as to hint at an inspiration for Pink Floyd's The Wall.<br /><br />One should never hold personal bias against a film while reviewing, and the cemented date of this film aside, there are a few flaws which others have overlooked. Lindsay Anderson was known to be a fan of Luis Buñuel, on top of generally being too smart for his own good. And despite a straightforward narrative through the first and second acts, the latter portion of the piece it taken hostage by cod Buñuel surrealism and strained attempts at symbolism. Anderson wasn't capable of this feat due to his over-intelligent cynicism, failing to see that Buñuel was jovial in his work. I have not found a critic whom champions the 'Chaplain in a drawer', and am almost certain it still gets sideways looks from those who adore this film. The ending is not so much a concise punch to the established class/values system, as a wet slap on a moving target.<br /><br />The British public school system was firmly for the middle classes (the upper crust being educated at home by private tutors). And the modus operandi of if.... was to check the boxes of public school life which Lindsay believed had been unexplored in film, thereby savaging middle class pretense. Homosexuality, generational cutlery, cold showers et al. In reality, such issues HAD been covered in many other great British films, if.... merely brought them to the fore. The Browning Version was a more oblique damning of such pomp, to name but one.<br /><br />if.... is oddly quaint, and simply can not be viewed with modern (especially American) eyes. Kudos to Anderson for avoiding Mick and Kieth in favour of African chant, and a few brownie points for the latent homoerotic overtones. Points deducted for pretension, establishing characters who disappear, and inciting a glib revolution which came to naught."
972,Positive,Negative,"this movie is another on the list that i did not want to see. i was talked into it and dragged into the theater, but boy am i glad for that. i thought it was going to be just another love story, but it turns out to be SOOO much more than that. definatly an intellectual flick, one of those movies you have to pay attention to."
983,Positive,Negative,"Pretty good picture about a man being in the wrong place at the wrong time. If the murderer wanted to whack the dame, why not just off her and let the cops try to figure out whodunnit? Involving all these characters in the plot is dangerous, not to mention all the mouths you'd have to worry about staying shut. Why did the depressed lady go out to the bar when she could barely sit up in a chair or say a word? Are there really cops out there who are wise cracking, gum popping, grinning apes who approach a suspect in such a glib manner? This probably played well back before the wheel was invented, but it is so corny and unbelievable today. Catch the manic drum break by Elisha Cook; his frenetic hammering never once matched the recording. His mad facial expressions made up for the off kilter stick sync."
988,Positive,Negative,i thought it was pretty interesting my social studies/language arts teacher was the police chief guy that was holding the microphone on the water barrel part =D i was excited my teacher is in some commercials he was in a gas/coffee/phone/play station commercial its nice seeing him on TV he was also on everybody hates Chris except he always get the small part la la why do we have to right 10 lines thats so stupid -_- i think I'm done never mind I'm still not done what is this a joke? why do we have to go all the way to line ten... really what's the point of it??!! i will just right random words for now -_- maple story is fun i love my friends
997,Negative,Positive,"A routine mystery/thriller concerning a killer that lurks in the swamps. During the early days of television, this one was shown so often, when Dad would say ""What's on TV tonight?"" and we'd tell him ""Strangler of the Swamp"" he'd pack us off to the movies. We went to the movies a lot in those days!"
1003,Negative,Positive,"i don't know why, but after all the hype on NPR i thought this was a new movie.....all the best footage has been used for BBC docs and NatGeo projects that you have seen if you are interested in nature programs...it has been repackaged with sappy narration and over-dramatic music for Disney to take advantage of Earth Day-there are great moments, and it is always nice to listen to Darth Vader.......oops,........... James Earl Jones speak, but I had hoped for a ground breaking movie , considering the new camera technology used in the making of this film......it has been sanitized for a child audience, so one can actually see better footage for free on youtube ....i feel that we are due for something as ground breaking as Koyannisquatsi (sic) and this movie is certainly not it"
1015,Negative,Positive,"A missed train. A wrong phone number. An extra cup of coffee. What happens to those around you when you make a seemingly innocuous decision? Most people don't give it a thought as they absorbed in their own thoughts and actions.<br /><br />""Happenstance"" tells the story of the interrelations and cause-and-effect of the mundane as it pertains to a group of normal Parisian folk. It has all the components of what passes for contemporary theater, with the full cast of the dysfunctional and disillusioned.<br /><br />There's a cheating husband, an illegal immigrant, a classic slacker, a pickpocket, a crazy grandmother, an annoying girlfriend, a selfish roommate, and a homeless man. Audrey Tautou serves as the erstwhile protagonist (in the sense that she's on camera as much as anyone else and opens and closes the film) and normal girl who just can't seem to find the right rhythm in her life.<br /><br />She learns at the beginning of her day from a stranger on a train what her horoscope holds for her. What happens to her in the course of the day is told through various characters. Does the prediction come true? The concept is good, but the storytelling is flimsy. The connections from one event to the next are weak. There's better storytelling in 15 seconds of the Liberty Mutual insurance commercial where one person sees a good deed and passes it along to another than there is in two hours of Happenstance.<br /><br />If you enjoy Audrey Tautou, then you certainly can sacrifice the time for this film, but you'll finish it dissatisfied and wondering what this same storyline could be if it were handled by a better producer and director."
1022,Negative,Positive,"A party-hardy frat boy's sister is brutally murdered by a street gang, sending the young man into a sudden psychotic rampage. He and his buddies massacre half the city to bring his sister back to life.<br /><br />SAVAGE STREETS was released a year after this film, and was more entertaining. Linnea Quigley, who has a costarring role in this film as the sexy (and briefly nude) girlfriend of one of the guys, also starred in SAVAGE STREETS.<br /><br />This film is subpar, though it delivers enough escapist entertainment and gratuitous nudity to please its intended audience (me).<br /><br />MPAA: Rated R for strong violence, nudity, language, and some sexuality."
1036,Positive,Negative,"so. i was completely in love with this movie. gaga for it, even with all its plot twists...but the one thing i found really disturbing was the connection between the two best friends in Tim and Kyle. While the writer of the film gave us such a poignant moment between the two, and their sexual experimentation/confusion, he then gives us a plot twist that makes them half brothers?!?! (Although the subject isn't brought up in the film....and left unexplained and unaccounted for) I just thought that it was in bad taste, and the fact that it wasn't even discussed is even worse. (Oops we've created a taboo...now let's not address the situation, because that wouldn't really be P.C.) Otherwise a spectacular film"
1044,Negative,Positive,"A broke would be screenwriter and his would be agent (Tom Wood and Arye Gross) are forced to live in a self storage facility run by an eccentric and intimidating manager (Ron Perlman) whom they come to believe is the serial murderer that is terrorizing the city, the ""Costume Killer"" (so named because, after injecting his victims with Windex, he dresses them in silly costumes). They convince him his life story would make a great film and gather together a group of misfit wannabe film makers (John Considine, Joe Pantoliano, Kristy Swanson) and discover that the art of movie making can be murder.<br /><br />There is more to this movie but it was unfortunately left on the editing room floor and it shows (rumor is the studio wanted a ""lighter"" dark comedy). Our loss (and the actors, who all do fine jobs and deserve better) as this has the makings of an exceptional black comedy but only rises to mediocre cute.<br /><br />If you're a Ron Perlman fan this is absolutely worth getting just for his performance. His comedic timing is excellent and he has the chance to do some really great impressions (he wasn't kidding when he said on the Hellboy movie commentary that he needed an intervention when he gets into Jerry Lewis mode). He's just simply fun to watch in this one. <br /><br />David Dukes also shines in a two-scener (but pivotal) role."
1048,Negative,Positive,"You may consider a couple of facts in the discussion to be spoilers.<br /><br />I'm sorry, but Spielberg didn't deserve to win any Oscar for this piece, and I think the Academy was right in that vote. (Other Oscars for best actor nominations and such... that I don't know about. But it would be hard to justify, given what they were told to do and what you see in the final product.) The way Spielberg directs this is so contrived, so meddlesome. While watching this movie a distinction made during a Film as Art course I have taken was screaming at me: ""Sentiment is honest emotion honestly rendered. Sentimentality is sugary and unreal, a false view of life."" This is over-the-top sentimentality. When in real life to two people ever begin to read out loud in synchronicity, as Celie and Shug Avery do when sitting on the bed going over the letters from Nettie they have found? There are examples of this type of faux behavior throughout the film: all the men crowding around Miss Millie's car and then jumping in unison like a flock of birds taking off when she goes to drive away; Harpo falling through the roofs of various buildings he's working on (a cheap slapstick gag); the whole troop of revelers heading from the Jook Joint en masse to the chapel, as if magically entranced by the choir's singing... on and on. Nothing rings true. I even wondered if Harpo's name was chosen purposefully because it's his wife Sophia's real name, ""Oprah,"" backwards. Spielberg isn't above such ""cuteness.""<br /><br />It's not that Spielberg is incapable of honestly rendered action and emotion. Schindler's List was amazing, deeply touching for me, and I greatly admire Saving Private Ryan too for its realism, even if the story is a bit contrived."
1057,Negative,Positive,"Follow-up to 1973's far better ""Cleopatra Jones"" has statuesque black actress Tamara Dobson returning to her signature role as chic, super-tough narcotics agent, here busting a heroin ring in Hong Kong. Cross-pollination of blaxploitation action-flick and kung-fu B-movie is fun at the outset but eventually flags. The shoot-out finale is right off the assembly-line, and Dobson herself seems less energetic than before (she's still sexy, and she puts a unique spin on her comically-stilted dialogue, but these surroundings may have been too much of one thing for her--she's jaded). Stella Stevens plays the villainess this time; she's good, but can't match Shelley Winters in the predecessor. ** from ****"
1058,Positive,Negative,"Oz was a fantastic show, as long as frequent male nudity doesn't turn you off. There was WAY too much frontal male nudity in this show, more than any other show you'd see on a porn channel. Minus that, it was the best show on TV, and a previous commenter said ""better than Prime Suspect"". Prime Suspect is Tom and Jerry vs The Simpsons. No contest. If you have DirecTv they are now re-running it from the start on Channel 101, they're at Episode #3 now. Highly recommended. The creator Tom Fontana also did Homicide, which was an AWESOME show. But why all the male nudity? We all know that stuff happens in prison, but did they really need to show it as often? That was the only thing that turned me off the show. If I want to see naked men, guys getting raped, I'll kill someone myself and witness first hand. Otherwise I like my TV shows free of black penises every Five minutes."
1063,Negative,Positive,"I'm not to keen on The Pallbearer, it's not too bad, but just very slow at the times. As the movie goes on, it gets a little more interesting, but nothing brilliant. I really like David Schwimmer and I think he's good here. I'm not a massive Gwyneth Paltrow fan, but I don't mind her sometimes and she's okay here. The Pallbearer is not a highly recommended movie, but if you like the leads then you might enjoy it."
1104,Positive,Negative,"After reading tons of good reviews about this movie I decided to take it for a spin (I bought it on DVD, hence the ""spin"" pun...I'm a dork). The beginning was everything I hoped for, a perfect set-up (along with some quotes that I've heard on Various Wu-Tang albums) to what should have been a good movie. But the plot I heard was so great, was so predictable. Every time I saw a character (except for the Lizard) I guessed which Venom he was. Plus, the only cool character gets killed off in the middle of the movie. Ok, so the plot wasn't very good but at least there was some good kung-fu right? Wrong. The fights were very short and few and far between. Granted the different styles were all pretty cool but I wish the fights were longer. I kept hoping to see the Lizard run and do some crazy ish on the walls but it never happened. I was hoping to see the Centipede do some tight speedy ish but it never happened. I was hoping to see the Scorpion in the movie for more than 7 total minutes but it never happened. In short, not much happens. The fighting is all pretty routine. Don't be fooled just becuase this movie has a plot, it does not mean it's a good one."
1114,Negative,Positive,"An update of the skits and jokes you would have seen on a Burlesque stage in the first half of the 20th Century. It's a string of several jokes acted out. Some of them you could tell your Grandmother, some of them not, but it's a fairly safe bet she's heard them all before. For what it tries to be, it's not too bad. Before you rent it, remember that it's an older style of entertainment and has more value as history than as comedy or titillation. Robin Williams has a couple of bits, but he's interchangeable with the other players."
1117,Negative,Positive,"If you like me enjoy films with plots and convincing actors then Alien Vs Predator- Requiem is probably not the way to go. In summary, alien lands in typical American town, Predator lands in American town, both have a bit of a fight, US government blows up town, some people get away.....I'm sorry I think I might have spoilt the ending. Its easy to criticise someone who's being critical; people cry out, I bet you couldn't do any better! I bet I could ! Having made this film,watched it and then turned to congratulate each other with a pat on the back and a job well done; there must surely have been the spectre of lunacy in the room."
1120,Negative,Positive,"""Scary Movie 2"" is a let down to the Scary Movie Franchise. Scary Movie 1, 3 and 4 were all good but this one was kind of boring and not very funny. Luckily they picked their act up after this one and made two more great Scary Movies.<br /><br />This film is about a group of teens who get tricked by their Professor into going to a haunted mansion for a night. Things start to go wrong and then they realize they have to escape.<br /><br />This movie isn't horrible but they could have improved quite a few things. It is a bit of fun and if you liked the other movies in the Scary Movie franchise then give this a watch - but I don't think you will like it nearly as much."
1137,Negative,Positive,"Like the previous commentator on this film, I too found myself in tears at times during this movie. Sometimes one wonders how a film of such awe-inspiring awfulness comes into existence. From the first moment when our protagonist wakes up in his New York apartment from a dream of subway trains intercut with galloping horses (what Irish emigrant hasn't had that one), its clear we are in trouble. And it doesn't get much better.<br /><br />Whisked back to 1950s Ireland, we enter a world where everybody speaks without intonation, and exclusively on the topic of the Irish Civil War. Schoolchildren go to school to learn about the Civil War. The drinkers in the pub divide themselves according to their Civil War allegiances. Remembrances are carried out for those who died in the Civil War. The town is divided between those who believe we should remember and those who want to forget...the Civil War. Every glance and conversation is dripping with meaning that traces back to the Civil War.<br /><br />The blurb on the videocover of Broken Harvest suggests that the film is a parable of the troubles in modern Ireland. The only parallel which strikes me is that in present day Dublin conversation is indeed dominated by one topic: house prices. If its intention is to offer some sort of insight into Ireland's obsession with its past, it fails miserably. It is striking how few Irish films have dealt with the Irish civil war and its legacies. However it will take a film of a great deal more subtlety and intelligence than this one to tell us anything about the lasting effects of such a traumatic event on the nation's psyche.<br /><br />For those American viewers who have suggested the film evokes the atmosphere of 1950s Ireland: it doesn't. 1950s Ireland was a horrible, poverty stricken pit of sexual repression and misery from which young people fled in their droves. However there was more than one topic of conversation."
